Player,Debuted,Debut_age,Retired,Ret_age,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,HOF
Chase Utley,2003,24,2018,39,1937,7863,6857,1103,1885,1157,411,58,259,1025,154,22.0,724,1193.0,0.275,0.358,0.465,0.823,117,3189,93.0,204,6.0,72.0,62.0,0
Bob Allison,1958,23,1970,35,1541,5924,5032,811,1281,756,216,53,256,796,84,50.0,795,1033.0,0.255,0.358,0.471,0.829,127,2371,115.0,34,25.0,35.0,30.0,0
Larry Parrish,1974,20,1988,34,1891,7451,6792,850,1789,1140,360,33,256,992,30,36.0,529,1359.0,0.263,0.318,0.439,0.757,107,2983,187.0,42,31.0,56.0,79.0,0
Vada Pinson,1958,19,1975,36,2469,10405,9645,1365,2757,1889,485,127,256,1169,305,122.0,574,1196.0,0.286,0.327,0.442,0.769,111,4264,164.0,54,52.0,78.0,69.0,0
Kirk Gibson,1979,22,1995,38,1635,6656,5798,985,1553,984,260,54,255,870,284,78.0,718,1285.0,0.268,0.352,0.463,0.815,123,2686,72.0,61,23.0,56.0,72.0,0
Adam LaRoche,2004,24,2015,35,1605,6329,5593,752,1452,844,340,13,255,882,13,11.0,649,1407.0,0.26,0.336,0.462,0.798,111,2583,128.0,24,5.0,58.0,67.0,0
John Mayberry,1968,19,1982,33,1620,6447,5447,733,1379,894,211,19,255,879,20,17.0,881,810.0,0.253,0.36,0.439,0.799,123,2393,108.0,55,10.0,53.0,106.0,0
John Olerud,1989,20,2005,36,2234,9063,7592,1139,2239,1471,500,13,255,1230,11,14.0,1275,1016.0,0.295,0.398,0.465,0.863,129,3530,232.0,88,12.0,96.0,157.0,0
Joe Gordon,1938,23,1950,35,1566,6537,5707,914,1530,961,264,52,253,975,89,60.0,759,702.0,0.268,0.357,0.466,0.822,120,2657,159.0,29,41.0,0.0,87.0,1
Andre Thornton,1973,23,1987,37,1565,6295,5291,792,1342,823,244,22,253,895,48,37.0,876,851.0,0.254,0.36,0.452,0.811,123,2389,129.0,41,14.0,71.0,69.0,0
Todd Zeile,1989,23,2004,38,2158,8649,7573,986,2004,1331,397,23,253,1110,53,51.0,945,1279.0,0.265,0.346,0.423,0.769,104,3206,223.0,42,8.0,81.0,47.0,0
Bret Boone,1992,23,2005,36,1780,7433,6683,927,1775,1129,366,28,252,1021,94,53.0,552,1295.0,0.266,0.325,0.442,0.767,101,2953,168.0,69,55.0,73.0,32.0,0
Bobby Murcer,1965,19,1983,37,1908,7718,6730,972,1862,1280,285,45,252,1043,127,75.0,862,841.0,0.277,0.357,0.445,0.802,124,2993,124.0,27,18.0,81.0,96.0,0
Joe Torre,1960,19,1977,36,2209,8802,7874,996,2342,1687,344,59,252,1185,23,29.0,779,1094.0,0.297,0.365,0.452,0.817,129,3560,284.0,85,13.0,50.0,127.0,0
Tony Armas,1976,22,1989,35,1432,5502,5164,614,1302,808,204,39,251,815,18,20.0,260,1201.0,0.252,0.287,0.453,0.74,103,2337,149.0,15,11.0,52.0,37.0,0
Tony Clark,1995,23,2009,37,1559,5120,4532,629,1188,693,233,11,251,824,6,9.0,527,1209.0,0.262,0.339,0.485,0.824,112,2196,133.0,21,0.0,40.0,55.0,0
Cy Williams,1912,24,1930,42,2002,7727,6780,1024,1981,1350,306,74,251,1005,115,99.0,690,721.0,0.292,0.365,0.47,0.835,125,3188,0.0,86,164.0,0.0,25.0,0
Robin Yount,1974,18,1993,37,2856,12249,11008,1632,3142,2182,583,126,251,1406,271,105.0,966,1350.0,0.285,0.342,0.43,0.772,115,4730,217.0,48,104.0,123.0,95.0,1
Jose Valentin,1992,22,2007,37,1678,6317,5539,872,1348,756,302,41,249,816,136,56.0,630,1294.0,0.243,0.321,0.448,0.769,96,2479,66.0,29,70.0,49.0,54.0,0
Goose Goslin,1921,20,1938,37,2287,9831,8656,1482,2735,1814,500,173,248,1612,176,94.0,949,585.0,0.316,0.387,0.5,0.887,128,4325,0.0,55,162.0,0.0,67.0,1
Ted Simmons,1968,18,1988,38,2456,9685,8680,1074,2472,1694,483,47,248,1389,21,33.0,855,694.0,0.285,0.348,0.437,0.785,118,3793,287.0,39,11.0,100.0,188.0,1
Justin Morneau,2003,22,2016,35,1545,6392,5699,772,1603,984,349,23,247,985,5,10.0,573,988.0,0.281,0.348,0.481,0.828,120,2739,138.0,46,0.0,74.0,92.0,0
Vern Stephens,1941,20,1955,34,1720,7243,6497,1001,1859,1263,307,42,247,1174,25,22.0,692,685.0,0.286,0.355,0.46,0.815,119,2991,169.0,6,37.0,8.0,57.0,0
Victor Martinez,2002,23,2018,39,1973,8166,7297,914,2153,1481,423,3,246,1178,7,7.0,730,891.0,0.295,0.36,0.455,0.815,118,3320,264.0,53,0.0,86.0,119.0,0
Ken Singleton,1970,23,1984,37,2082,8559,7189,985,2029,1441,317,25,246,1065,21,36.0,1263,1246.0,0.282,0.388,0.436,0.824,132,3134,248.0,17,29.0,60.0,125.0,0
Deron Johnson,1960,21,1976,37,1765,6620,5941,706,1447,922,247,33,245,923,11,18.0,585,1318.0,0.244,0.311,0.42,0.731,102,2495,164.0,20,13.0,61.0,54.0,0
Nick Swisher,2004,23,2015,34,1527,6308,5369,805,1338,775,307,11,245,803,13,15.0,817,1373.0,0.249,0.351,0.447,0.799,113,2402,131.0,56,13.0,53.0,42.0,0
Mickey Tettleton,1984,23,1997,36,1485,5745,4698,711,1132,661,210,16,245,732,23,29.0,949,1307.0,0.241,0.369,0.449,0.818,122,2109,86.0,30,21.0,47.0,72.0,0
Lou Whitaker,1977,20,1995,38,2390,9967,8570,1386,2369,1640,420,65,244,1084,143,75.0,1197,1099.0,0.276,0.363,0.426,0.789,117,3651,143.0,20,89.0,91.0,79.0,0
