Player,Debuted,Debut_age,Retired,Ret_age,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,HOF
Devon White,1985,22,2001,38,1941,8080,7344,1125,1934,1277,378,71,208,846,346,98.0,541,1526.0,0.263,0.319,0.419,0.739,98,3078,98.0,87,61.0,47.0,32.0,0
Kirby Puckett,1984,24,1995,35,1783,7831,7244,1071,2304,1626,414,57,207,1085,134,76.0,450,965.0,0.318,0.36,0.477,0.837,124,3453,188.0,56,23.0,58.0,85.0,1
Richie Zisk,1971,22,1983,34,1453,5737,5144,681,1477,999,245,26,207,792,8,15.0,533,910.0,0.287,0.353,0.466,0.818,127,2395,138.0,12,7.0,41.0,52.0,0
Felipe Alou,1958,23,1974,39,2082,7908,7339,985,2101,1487,359,49,206,852,107,67.0,423,706.0,0.286,0.328,0.433,0.761,113,3176,135.0,57,33.0,56.0,67.0,0
Gus Bell,1950,21,1964,35,1741,7073,6478,865,1823,1240,311,66,206,942,30,35.0,470,636.0,0.281,0.33,0.445,0.775,103,2884,109.0,27,45.0,53.0,36.0,0
Pete Incaviglia,1986,22,1998,34,1284,4677,4233,546,1043,622,194,21,206,655,33,26.0,360,1277.0,0.246,0.31,0.448,0.758,104,1897,85.0,45,1.0,38.0,21.0,0
Joe Medwick,1932,20,1948,36,1984,8143,7635,1198,2471,1613,540,113,205,1383,42,37.0,437,551.0,0.324,0.362,0.505,0.867,134,3852,203.0,26,44.0,0.0,101.0,1
Rico Carty,1963,23,1979,39,1651,6318,5606,712,1677,1178,278,17,204,890,21,26.0,642,663.0,0.299,0.369,0.464,0.833,132,2601,206.0,13,3.0,54.0,65.0,0
Jose Cruz,1997,23,2008,34,1388,5448,4724,713,1167,675,252,36,204,624,113,39.0,658,1147.0,0.247,0.337,0.445,0.783,102,2103,74.0,5,23.0,38.0,38.0,0
Wally Joyner,1986,24,2001,39,2033,8115,7127,973,2060,1421,409,26,204,1106,60,39.0,833,825.0,0.289,0.362,0.44,0.802,117,3133,168.0,38,26.0,91.0,109.0,0
Richie Hebner,1968,20,1985,37,1908,7027,6144,865,1694,1161,273,57,203,890,38,40.0,687,741.0,0.276,0.352,0.438,0.79,119,2690,105.0,74,44.0,67.0,95.0,0
Bill Dickey,1928,21,1946,39,1789,7065,6300,930,1969,1352,343,72,202,1209,36,32.0,678,289.0,0.313,0.382,0.486,0.868,127,3062,49.0,31,51.0,0.0,101.0,1
Carl Everett,1993,22,2006,35,1405,5395,4809,707,1304,818,258,26,202,792,107,54.0,442,1021.0,0.271,0.341,0.462,0.802,107,2220,83.0,87,15.0,42.0,39.0,0
Sid Gordon,1941,23,1955,37,1475,5814,4992,735,1415,950,220,43,202,805,19,26.0,731,356.0,0.283,0.377,0.466,0.843,129,2327,174.0,22,54.0,12.0,42.0,0
Todd Hundley,1990,21,2003,34,1225,4305,3769,495,883,507,167,7,202,599,14,11.0,453,988.0,0.234,0.32,0.443,0.763,102,1670,71.0,34,18.0,31.0,63.0,0
Jhonny Peralta,2003,21,2017,35,1798,7319,6599,841,1761,1159,376,24,202,873,17,27.0,606,1450.0,0.267,0.329,0.423,0.752,102,2791,200.0,38,13.0,63.0,24.0,0
Bill White,1956,22,1969,35,1673,6680,5972,843,1706,1161,278,65,202,870,103,68.0,596,927.0,0.286,0.351,0.455,0.806,117,2720,82.0,28,39.0,45.0,70.0,0
Buddy Bell,1972,20,1989,37,2405,10009,8995,1151,2514,1832,425,56,201,1106,55,79.0,836,776.0,0.279,0.341,0.406,0.747,109,3654,255.0,38,60.0,80.0,84.0,0
Gene Tenace,1969,22,1983,36,1555,5527,4390,653,1060,660,179,20,201,674,36,42.0,984,998.0,0.241,0.388,0.429,0.817,136,1882,77.0,91,21.0,39.0,58.0,0
Bill Freehan,1961,19,1976,34,1774,6900,6073,706,1591,1115,241,35,200,758,24,21.0,626,753.0,0.262,0.34,0.412,0.752,112,2502,138.0,114,38.0,48.0,67.0,0
Oscar Gamble,1969,19,1985,35,1584,5197,4502,656,1195,776,188,31,200,666,47,37.0,610,546.0,0.265,0.356,0.454,0.811,127,2045,64.0,43,12.0,30.0,62.0,0
Josh Hamilton,2007,26,2015,34,1027,4350,3909,609,1134,676,234,24,200,701,50,16.0,352,938.0,0.29,0.349,0.516,0.865,129,2016,66.0,33,1.0,55.0,55.0,0
Adam Lind,2006,22,2017,33,1344,5029,4577,588,1247,776,259,12,200,723,7,5.0,393,945.0,0.272,0.33,0.465,0.795,112,2130,117.0,17,3.0,39.0,45.0,0
Don Mincher,1960,22,1972,34,1400,4726,4026,530,1003,611,176,16,200,643,24,32.0,606,668.0,0.249,0.348,0.45,0.798,127,1811,89.0,27,29.0,37.0,76.0,0
Cesar Cedeno,1970,19,1986,35,2006,8133,7310,1084,2087,1392,436,60,199,976,550,179.0,664,938.0,0.285,0.347,0.443,0.79,123,3240,167.0,56,32.0,71.0,83.0,0
Jackie Jensen,1950,23,1961,34,1438,6080,5236,810,1463,960,259,45,199,929,143,55.0,750,546.0,0.279,0.369,0.46,0.829,120,2409,185.0,23,18.0,52.0,40.0,0
Juan Uribe,2001,22,2016,37,1826,6715,6161,724,1568,1003,323,43,199,816,48,39.0,388,1224.0,0.255,0.301,0.418,0.719,87,2574,154.0,46,63.0,57.0,25.0,0
Barry Larkin,1986,22,2004,40,2180,9057,7937,1329,2340,1625,441,76,198,960,379,77.0,939,817.0,0.295,0.371,0.444,0.815,116,3527,178.0,55,59.0,67.0,66.0,1
Rondell White,1993,21,2007,35,1474,5852,5357,756,1519,991,296,34,198,768,94,47.0,360,925.0,0.284,0.336,0.462,0.799,108,2477,143.0,88,5.0,42.0,21.0,0
Michael Cuddyer,2001,22,2015,36,1536,6102,5488,809,1522,950,333,42,197,794,75,22.0,527,1101.0,0.277,0.344,0.461,0.805,113,2530,183.0,49,4.0,34.0,36.0,0
Dave Henderson,1981,22,1994,35,1538,5677,5130,710,1324,824,286,17,197,708,50,38.0,465,1105.0,0.258,0.32,0.436,0.756,108,2235,83.0,22,19.0,41.0,19.0,0
Dick McAuliffe,1960,20,1975,35,1763,7162,6185,888,1530,1031,231,71,197,696,63,59.0,882,974.0,0.247,0.343,0.403,0.746,109,2494,77.0,33,32.0,30.0,59.0,0
Cliff Johnson,1972,24,1986,38,1369,4603,3945,539,1016,622,188,10,196,699,9,12.0,568,719.0,0.258,0.355,0.459,0.815,125,1812,86.0,50,4.0,36.0,53.0,0
Ken Williams,1915,25,1929,39,1397,5625,4862,860,1552,994,285,77,196,916,154,109.0,566,287.0,0.319,0.393,0.53,0.924,138,2579,0.0,28,160.0,0.0,14.0,0
Jay Bell,1986,20,2003,37,2063,8525,7398,1123,1963,1307,394,67,195,860,91,60.0,853,1443.0,0.265,0.343,0.416,0.759,101,3076,165.0,57,159.0,58.0,25.0,0
Toby Harrah,1969,20,1986,37,2155,8767,7402,1115,1954,1412,307,40,195,918,238,94.0,1153,868.0,0.264,0.365,0.395,0.76,114,2926,155.0,63,76.0,72.0,51.0,0
Minnie Minoso,1946,22,1980,56,1948,8233,7059,1228,2113,1458,365,95,195,1089,216,130.0,848,584.0,0.299,0.387,0.461,0.848,130,3253,185.0,197,69.0,57.0,43.0,1
Josh Willingham,2004,25,2014,35,1147,4616,3912,564,988,562,216,15,195,632,35,9.0,553,1036.0,0.253,0.358,0.465,0.823,121,1819,87.0,112,2.0,36.0,22.0,0
Russell Branyan,1998,22,2011,35,1059,3398,2934,405,682,337,143,8,194,467,16,4.0,403,1118.0,0.232,0.329,0.485,0.814,113,1423,31.0,30,4.0,27.0,30.0,0
Jeff Heath,1936,21,1949,34,1383,5561,4937,777,1447,872,279,102,194,887,56,48.0,593,670.0,0.293,0.37,0.509,0.879,139,2512,59.0,10,20.0,0.0,73.0,0
Amos Otis,1967,20,1984,37,1998,8247,7299,1092,2020,1387,374,66,193,1007,341,93.0,757,1008.0,0.277,0.343,0.425,0.768,115,3105,158.0,33,54.0,103.0,53.0,0
Jason Varitek,1997,25,2011,39,1546,5839,5099,664,1307,794,306,14,193,757,25,18.0,614,1216.0,0.256,0.341,0.435,0.776,99,2220,129.0,61,22.0,43.0,59.0,0
Ray Durham,1995,23,2008,36,1975,8423,7408,1249,2054,1343,440,79,192,875,273,97.0,820,1201.0,0.277,0.352,0.436,0.788,104,3228,151.0,72,55.0,68.0,34.0,0
Carl Furillo,1946,24,1960,38,1806,7022,6378,895,1910,1338,324,56,192,1058,48,50.0,514,436.0,0.299,0.355,0.458,0.813,112,2922,207.0,47,59.0,24.0,83.0,0
Al Rosen,1947,23,1956,32,1044,4374,3725,603,1063,686,165,20,192,717,39,33.0,587,385.0,0.285,0.384,0.495,0.879,137,1844,121.0,27,9.0,26.0,43.0,0
Hal McRae,1968,22,1987,41,2084,8059,7218,940,2091,1350,484,66,191,1097,109,78.0,648,779.0,0.29,0.351,0.454,0.805,123,3280,186.0,79,28.0,85.0,69.0,0
Chris Young,2006,22,2018,34,1465,5316,4710,668,1109,606,288,24,191,590,142,46.0,520,1192.0,0.235,0.314,0.428,0.743,95,2018,60.0,37,17.0,32.0,16.0,0
Glenn Davis,1984,23,1993,32,1015,4189,3719,510,965,585,177,13,190,603,28,11.0,370,613.0,0.259,0.332,0.467,0.8,123,1738,80.0,55,6.0,39.0,78.0,0
Willie Jones,1947,21,1961,35,1691,6718,5826,786,1502,1027,252,33,190,812,40,22.0,755,541.0,0.258,0.343,0.41,0.753,102,2390,148.0,22,74.0,37.0,60.0,0
Ernie Lombardi,1931,23,1947,39,1853,6353,5855,601,1792,1298,277,27,190,990,8,9.0,430,262.0,0.306,0.358,0.46,0.818,126,2693,261.0,46,18.0,0.0,153.0,1
Bob Bailey,1962,19,1978,35,1931,7043,6082,772,1564,1098,234,43,189,773,85,83.0,852,1126.0,0.257,0.347,0.403,0.75,111,2451,195.0,17,40.0,52.0,67.0,0
Charlie Keller,1939,22,1952,35,1170,4604,3790,725,1085,658,166,72,189,760,45,23.0,784,499.0,0.286,0.41,0.518,0.928,152,1962,50.0,10,20.0,0.0,50.0,0
J.T. Snow,1992,24,2008,40,1716,6553,5641,798,1509,1008,293,19,189,877,20,23.0,760,1142.0,0.268,0.357,0.427,0.784,105,2407,135.0,64,24.0,64.0,61.0,0
Preston Wilson,1998,23,2007,32,1108,4436,4003,573,1055,629,221,16,189,668,124,55.0,350,1085.0,0.264,0.329,0.468,0.797,103,1875,129.0,51,5.0,27.0,15.0,0
J.J. Hardy,2005,22,2017,34,1561,6309,5805,718,1488,995,291,14,188,688,8,9.0,411,960.0,0.256,0.305,0.408,0.714,91,2371,156.0,15,40.0,38.0,24.0,0
A.J. Pierzynski,1998,21,2016,39,2059,7815,7290,807,2043,1424,407,24,188,909,15,23.0,308,895.0,0.28,0.319,0.42,0.739,94,3062,241.0,129,28.0,58.0,68.0,0
Darrell Porter,1971,19,1987,35,1782,6570,5539,765,1369,896,237,48,188,826,39,37.0,905,1025.0,0.247,0.354,0.409,0.763,113,2266,102.0,45,18.0,63.0,106.0,0
B.J. Surhoff,1987,22,2005,40,2313,9106,8258,1062,2326,1656,440,42,188,1153,141,84.0,640,839.0,0.282,0.332,0.413,0.745,98,3414,169.0,33,71.0,104.0,81.0,0
Bobby Higginson,1995,24,2005,34,1362,5664,4910,736,1336,846,270,33,187,709,91,53.0,649,796.0,0.272,0.358,0.455,0.813,113,2233,83.0,37,12.0,52.0,36.0,0
Mike Stanley,1986,23,2000,37,1467,4989,4222,625,1138,724,220,7,187,702,13,4.0,652,929.0,0.27,0.37,0.458,0.827,117,1933,108.0,48,15.0,52.0,25.0,0
Turkey Stearnes,1923,22,1940,39,993,4279,3807,917,1326,795,231,113,187,1009,130,0.0,418,0.0,0.348,0.417,0.616,1.032,177,2344,0.0,29,25.0,0.0,0.0,1
Rich Aurilia,1995,23,2009,37,1652,6278,5721,745,1576,1067,301,22,186,756,23,18.0,450,861.0,0.275,0.328,0.433,0.762,99,2479,140.0,24,36.0,47.0,22.0,0
Glenallen Hill,1989,24,2001,36,1162,4033,3715,528,1005,611,187,21,186,586,96,38.0,270,845.0,0.271,0.321,0.482,0.804,112,1792,89.0,20,2.0,26.0,13.0,0
Chris Chambliss,1971,22,1988,39,2175,8314,7571,912,2109,1490,392,42,185,972,40,35.0,632,926.0,0.279,0.334,0.415,0.749,109,3140,166.0,27,19.0,56.0,99.0,0
Alan Trammell,1977,19,1996,38,2293,9376,8288,1231,2365,1713,412,55,185,1003,236,109.0,850,874.0,0.285,0.352,0.415,0.767,110,3442,156.0,37,124.0,76.0,48.0,1
Michael Young,2000,23,2013,36,1970,8612,7918,1137,2375,1689,441,60,185,1030,90,30.0,575,1235.0,0.3,0.346,0.441,0.787,104,3491,236.0,22,25.0,72.0,28.0,0
Charlie Gehringer,1924,21,1942,39,2323,10245,8860,1775,2839,1935,574,146,184,1427,181,93.0,1186,372.0,0.32,0.404,0.48,0.884,125,4257,27.0,50,141.0,0.0,43.0,1
Brian Jordan,1992,25,2006,39,1456,5646,5160,755,1454,966,267,37,184,821,119,48.0,353,842.0,0.282,0.333,0.455,0.788,105,2347,118.0,74,2.0,57.0,25.0,0
Bob Watson,1966,20,1984,38,1832,6962,6185,802,1826,1294,307,41,184,989,27,28.0,653,796.0,0.295,0.364,0.447,0.811,129,2767,173.0,48,11.0,65.0,98.0,0
Harry Heilmann,1914,19,1932,37,2147,8972,7787,1291,2660,1784,542,151,183,1543,113,74.0,856,550.0,0.342,0.41,0.52,0.93,148,4053,0.0,40,277.0,0.0,36.0,1
Tommy Henrich,1937,24,1950,37,1284,5411,4603,901,1297,772,269,73,183,795,37,19.0,712,383.0,0.282,0.382,0.491,0.873,132,2261,62.0,34,60.0,0.0,14.0,0
Willie Davis,1960,20,1979,39,2429,9822,9174,1217,2561,1846,395,138,182,1053,398,131.0,418,977.0,0.279,0.311,0.412,0.723,106,3778,128.0,51,83.0,96.0,75.0,0
Steve Balboni,1981,24,1993,36,960,3440,3120,351,714,395,127,11,181,495,1,2.0,273,856.0,0.229,0.293,0.451,0.743,101,1406,67.0,19,1.0,27.0,21.0,0
Babe Herman,1926,23,1945,42,1552,6230,5603,882,1818,1128,399,110,181,997,94,93.0,520,553.0,0.324,0.383,0.532,0.915,141,2980,43.0,11,92.0,0.0,46.0,0
Sam Chapman,1938,22,1951,35,1368,5600,4988,754,1329,887,210,52,180,773,41,38.0,562,682.0,0.266,0.342,0.438,0.78,107,2183,136.0,15,35.0,0.0,24.0,0
Mule Suttles,1924,23,1944,43,909,3623,3220,720,1093,625,213,75,180,883,85,0.0,370,0.0,0.339,0.41,0.62,1.03,172,1996,1.0,15,18.0,0.0,2.0,1
Del Crandall,1949,19,1966,36,1573,5584,5026,585,1276,900,179,18,179,657,26,31.0,424,477.0,0.254,0.312,0.404,0.716,96,2028,162.0,21,68.0,42.0,117.0,0
Jim Gentile,1957,23,1966,32,936,3479,2922,434,759,461,113,6,179,549,3,1.0,475,663.0,0.26,0.368,0.486,0.854,136,1421,69.0,45,5.0,32.0,54.0,0
Woodie Held,1954,22,1969,37,1390,4647,4019,524,963,612,150,22,179,559,14,11.0,508,944.0,0.24,0.331,0.421,0.753,108,1694,92.0,56,34.0,28.0,45.0,0
Joe Rudi,1967,20,1982,35,1547,6077,5556,684,1468,963,287,39,179,810,25,15.0,369,870.0,0.264,0.311,0.427,0.738,112,2370,129.0,35,65.0,51.0,59.0,0
Harlond Clift,1934,21,1945,32,1582,6895,5730,1070,1558,1009,309,62,178,829,69,43.0,1070,713.0,0.272,0.39,0.441,0.831,116,2525,51.0,41,53.0,0.0,30.0,0
Tony Lazzeri,1926,22,1939,35,1740,7314,6297,986,1840,1213,334,115,178,1194,148,82.0,869,864.0,0.292,0.38,0.467,0.846,121,2938,8.0,21,116.0,0.0,40.0,1
Ron Kittle,1982,24,1991,33,843,3013,2708,356,648,369,100,3,176,460,16,16.0,236,744.0,0.239,0.306,0.473,0.779,110,1282,53.0,38,0.0,31.0,20.0,0
Don Money,1968,21,1983,36,1720,6998,6215,798,1623,1109,302,36,176,729,80,51.0,600,866.0,0.261,0.328,0.406,0.734,106,2525,121.0,40,90.0,53.0,45.0,0
Hideki Matsui,2003,29,2012,38,1236,5066,4442,656,1253,817,249,12,175,760,13,9.0,547,689.0,0.282,0.36,0.462,0.822,118,2051,106.0,21,0.0,46.0,35.0,0
Bill Buckner,1969,19,1990,40,2517,10037,9397,1077,2715,1994,498,49,174,1208,183,73.0,450,453.0,0.289,0.321,0.408,0.729,100,3833,247.0,42,47.0,97.0,111.0,0
Nate Colbert,1966,20,1976,30,1004,3863,3422,481,833,494,141,25,173,520,52,31.0,383,902.0,0.243,0.322,0.451,0.772,119,1543,82.0,23,10.0,25.0,55.0,0
Walker Cooper,1940,25,1957,42,1473,5082,4702,573,1341,888,240,40,173,812,18,11.0,309,357.0,0.285,0.332,0.464,0.796,116,2180,160.0,22,44.0,1.0,75.0,0
Julio Franco,1982,23,2007,48,2527,9731,8677,1285,2586,1952,407,54,173,1194,281,107.0,917,1341.0,0.298,0.365,0.417,0.782,111,3620,312.0,38,19.0,80.0,67.0,0
Mark Grace,1988,24,2003,39,2245,9290,8065,1179,2445,1716,511,45,173,1146,70,48.0,1075,642.0,0.303,0.383,0.442,0.825,119,3565,192.0,34,17.0,99.0,114.0,0
Eddie Robinson,1942,21,1957,36,1315,4893,4282,546,1146,778,172,24,172,723,10,12.0,521,359.0,0.268,0.353,0.44,0.793,113,1882,100.0,50,33.0,5.0,57.0,0
Mickey Vernon,1939,21,1960,42,2409,9839,8731,1196,2495,1713,490,120,172,1311,137,90.0,955,869.0,0.286,0.359,0.428,0.787,116,3741,183.0,49,80.0,19.0,86.0,0
Richard Hidalgo,1997,22,2005,30,987,3929,3459,531,929,525,214,19,171,560,48,34.0,358,737.0,0.269,0.345,0.49,0.835,110,1694,88.0,67,0.0,43.0,25.0,0
Melvin Mora,1999,27,2011,39,1556,6158,5422,794,1503,1030,283,19,171,754,93,55.0,520,953.0,0.277,0.35,0.431,0.781,105,2337,112.0,117,50.0,49.0,18.0,0
Dmitri Young,1996,22,2008,34,1364,5253,4762,648,1389,888,301,29,171,683,25,22.0,407,871.0,0.292,0.351,0.475,0.826,114,2261,150.0,45,3.0,35.0,66.0,0
Joe Cronin,1926,19,1945,38,2124,8840,7579,1233,2285,1482,515,118,170,1424,87,71.0,1059,700.0,0.301,0.39,0.468,0.857,119,3546,57.0,34,166.0,0.0,41.0,1
Bob Elliott,1939,22,1953,36,1978,8207,7141,1064,2061,1415,382,94,170,1195,60,53.0,967,604.0,0.289,0.375,0.44,0.815,124,3141,187.0,16,66.0,0.0,61.0,0
Jim Ray Hart,1963,21,1974,32,1125,4236,3783,518,1052,705,148,29,170,578,17,17.0,380,573.0,0.278,0.345,0.467,0.813,127,1768,123.0,28,8.0,37.0,49.0,0
Kevin Millar,1998,26,2009,37,1427,5382,4688,648,1284,803,296,15,170,699,7,9.0,564,838.0,0.274,0.358,0.452,0.81,110,2120,117.0,78,1.0,51.0,17.0,0
Tim Raines,1979,19,2002,42,2502,10359,8872,1571,2605,1892,430,113,170,980,808,146.0,1330,966.0,0.294,0.385,0.425,0.81,123,3771,142.0,42,39.0,76.0,148.0,1
Ramon Hernandez,1999,23,2013,37,1526,5701,5105,580,1345,906,262,8,169,757,9,5.0,430,734.0,0.263,0.327,0.417,0.744,96,2130,151.0,74,40.0,52.0,23.0,0
Lloyd Moseby,1980,20,1991,31,1588,6574,5815,869,1494,986,273,66,169,737,280,92.0,616,1135.0,0.257,0.332,0.414,0.746,102,2406,105.0,58,40.0,45.0,46.0,0
Pete O'Brien,1982,24,1993,35,1567,6168,5437,654,1421,977,254,21,169,736,24,34.0,641,563.0,0.261,0.336,0.409,0.745,104,2224,133.0,7,15.0,68.0,77.0,0
Alex Rios,2004,23,2015,34,1691,6929,6419,885,1778,1172,374,63,169,794,253,77.0,400,1117.0,0.277,0.321,0.434,0.755,100,2785,193.0,45,2.0,61.0,24.0,0
Enos Slaughter,1938,22,1959,43,2380,9087,7946,1247,2383,1653,413,148,169,1304,71,60.0,1018,538.0,0.3,0.382,0.453,0.834,124,3599,139.0,37,73.0,10.0,108.0,1
Ty Wigginton,2002,24,2013,35,1362,4949,4479,558,1170,742,245,14,169,594,42,23.0,371,891.0,0.261,0.323,0.435,0.758,98,1950,128.0,54,6.0,39.0,23.0,0
Jose Hernandez,1991,21,2006,36,1587,5089,4618,623,1166,772,193,33,168,603,41,38.0,384,1391.0,0.252,0.312,0.418,0.729,88,1929,125.0,24,39.0,24.0,40.0,0
Elston Howard,1948,19,1968,39,1625,5929,5443,635,1491,1047,223,53,168,775,10,14.0,376,786.0,0.274,0.321,0.427,0.748,107,2324,157.0,27,29.0,52.0,82.0,0
Al Smith,1946,18,1964,36,1556,6331,5499,866,1500,1018,263,51,168,701,70,43.0,687,768.0,0.273,0.358,0.431,0.789,114,2369,127.0,65,36.0,43.0,31.0,0
Casey Blake,1999,25,2011,37,1265,5091,4500,644,1186,737,264,18,167,616,36,37.0,445,1037.0,0.264,0.336,0.442,0.778,107,1987,107.0,72,27.0,47.0,37.0,0
Charles Johnson,1994,22,2005,33,1188,4386,3836,465,940,558,211,4,167,570,6,10.0,475,997.0,0.245,0.33,0.433,0.762,97,1660,112.0,25,18.0,31.0,29.0,0
Gus Triandos,1953,22,1965,34,1206,4426,3907,389,954,634,147,6,167,608,1,0.0,440,636.0,0.244,0.322,0.413,0.735,103,1614,128.0,21,26.0,32.0,49.0,0
Tony Conigliaro,1964,19,1975,30,876,3591,3221,464,849,521,139,23,166,516,20,23.0,287,629.0,0.264,0.327,0.476,0.803,119,1532,63.0,33,19.0,31.0,28.0,0
Josh Gibson,1930,18,1946,34,602,2526,2168,612,808,449,135,58,166,733,40,0.0,336,0.0,0.373,0.458,0.718,1.176,214,1557,1.0,4,18.0,0.0,11.0,1
Larry Hisle,1968,21,1982,35,1197,4780,4205,652,1146,755,193,32,166,674,128,61.0,462,941.0,0.273,0.347,0.452,0.799,123,1901,95.0,39,32.0,42.0,37.0,0
Dwayne Murphy,1978,23,1989,34,1360,5242,4347,648,1069,744,139,20,166,609,100,61.0,747,953.0,0.246,0.356,0.402,0.757,115,1746,92.0,19,84.0,45.0,39.0,0
Colby Rasmus,2009,22,2018,31,1092,4119,3704,536,891,521,183,21,166,491,35,17.0,362,1106.0,0.241,0.31,0.436,0.745,102,1614,44.0,18,13.0,22.0,23.0,0
Bill Robinson,1966,23,1983,40,1472,4730,4364,536,1127,703,229,29,166,641,71,49.0,263,820.0,0.258,0.3,0.438,0.738,104,1912,128.0,16,37.0,49.0,49.0,0
Paul Sorrento,1989,23,1999,33,1093,3890,3412,454,876,529,176,5,166,565,8,15.0,426,844.0,0.257,0.34,0.457,0.798,109,1560,81.0,21,4.0,27.0,54.0,0
Jose Cruz Jr.,1970,22,1988,40,2353,8931,7917,1036,2251,1601,391,94,165,1077,317,136.0,898,1031.0,0.284,0.354,0.42,0.774,120,3325,119.0,7,27.0,82.0,142.0,0
Jacque Jones,1999,24,2008,33,1302,4993,4594,632,1272,833,255,19,165,630,82,45.0,314,949.0,0.277,0.326,0.448,0.775,98,2060,116.0,36,18.0,27.0,37.0,0
Hank Bauer,1948,25,1961,38,1544,5778,5145,833,1424,974,229,57,164,703,50,33.0,521,638.0,0.277,0.346,0.439,0.785,113,2259,95.0,34,51.0,25.0,25.0,0
Chick Hafey,1924,21,1937,34,1283,5116,4625,777,1466,894,341,67,164,833,70,52.0,372,477.0,0.317,0.372,0.526,0.898,133,2433,28.0,33,83.0,0.0,37.0,1
Jim Lemon,1950,22,1963,35,1010,3873,3445,446,901,581,121,35,164,529,13,18.0,363,787.0,0.262,0.332,0.46,0.792,114,1584,73.0,18,6.0,38.0,19.0,0
Andy Seminick,1943,22,1957,36,1304,4575,3921,495,953,624,139,26,164,556,23,22.0,582,780.0,0.243,0.347,0.417,0.764,107,1636,118.0,40,27.0,1.0,67.0,0
B.J. Upton,2004,19,2016,31,1469,5858,5175,723,1260,802,262,32,164,586,300,92.0,589,1561.0,0.243,0.321,0.402,0.723,97,2078,98.0,24,22.0,44.0,23.0,0
Andy Van Slyke,1983,22,1995,34,1658,6495,5711,835,1562,1014,293,91,164,792,245,59.0,667,1063.0,0.274,0.349,0.443,0.792,119,2529,94.0,27,12.0,61.0,55.0,0
Claudell Washington,1974,19,1990,35,1912,7367,6787,926,1884,1317,334,69,164,824,312,134.0,468,1266.0,0.278,0.325,0.42,0.745,106,2848,140.0,36,25.0,51.0,77.0,0
Don Demeter,1956,21,1967,32,1109,3730,3443,467,912,585,147,17,163,563,22,25.0,180,658.0,0.265,0.307,0.459,0.766,108,1582,65.0,42,33.0,32.0,31.0,0
Damion Easley,1992,22,2008,38,1706,6211,5484,735,1386,909,287,27,163,684,114,56.0,510,935.0,0.253,0.329,0.404,0.733,92,2216,128.0,132,42.0,43.0,22.0,0
Ken Keltner,1937,20,1950,33,1526,6316,5683,737,1570,1030,308,69,163,852,39,33.0,514,480.0,0.276,0.338,0.441,0.778,112,2505,144.0,13,102.0,0.0,52.0,0
Bill Madlock,1973,22,1987,36,1806,7372,6594,920,2008,1463,348,34,163,860,174,90.0,605,510.0,0.305,0.365,0.442,0.807,123,2913,190.0,68,36.0,69.0,121.0,0
Roy Smalley,1975,22,1987,34,1653,6596,5657,745,1454,1022,244,25,163,694,27,34.0,771,908.0,0.257,0.345,0.395,0.74,103,2237,121.0,14,98.0,54.0,47.0,0
Pedro Alvarez,2010,23,2018,31,910,3321,2980,365,704,405,131,6,162,472,15,3.0,314,952.0,0.236,0.31,0.447,0.757,107,1333,71.0,11,1.0,15.0,31.0,0
Clete Boyer,1955,18,1971,34,1725,6368,5780,645,1396,1001,200,33,162,654,41,28.0,470,931.0,0.242,0.299,0.372,0.67,86,2148,136.0,25,37.0,53.0,74.0,0
Andre Ethier,2006,24,2017,35,1455,5425,4800,641,1367,868,303,34,162,687,29,28.0,519,938.0,0.285,0.359,0.463,0.822,122,2224,104.0,58,2.0,44.0,68.0,0
Jonny Gomes,2003,22,2015,34,1203,4009,3456,495,835,502,157,14,162,526,50,24.0,417,1088.0,0.242,0.333,0.436,0.769,106,1506,52.0,83,2.0,51.0,19.0,0
Corey Hart,2004,22,2015,33,1048,4114,3729,549,1009,593,221,33,162,538,85,40.0,286,853.0,0.271,0.329,0.478,0.806,112,1782,90.0,52,15.0,32.0,16.0,0
Keith Hernandez,1974,20,1990,36,2088,8553,7370,1124,2182,1534,426,60,162,1071,98,63.0,1070,1012.0,0.296,0.384,0.436,0.821,128,3214,161.0,32,10.0,71.0,130.0,0
Aaron Hill,2005,23,2017,35,1559,6217,5646,736,1501,992,325,22,162,695,74,35.0,443,847.0,0.266,0.323,0.417,0.74,96,2356,134.0,55,19.0,51.0,21.0,0
Terry Steinbach,1986,24,1999,37,1546,5905,5369,638,1453,997,273,21,162,745,23,22.0,418,938.0,0.271,0.326,0.42,0.746,102,2254,177.0,48,15.0,46.0,31.0,0
Juan Samuel,1983,22,1998,37,1720,6664,6081,873,1578,1028,287,102,161,703,396,143.0,440,1442.0,0.259,0.315,0.42,0.735,101,2552,81.0,74,27.0,42.0,38.0,0
Rickie Weeks,2003,20,2017,34,1324,5112,4417,733,1087,674,219,33,161,474,132,32.0,533,1230.0,0.246,0.344,0.42,0.764,103,1855,77.0,134,9.0,19.0,13.0,0
Alvin Davis,1984,23,1992,31,1206,5010,4240,568,1189,799,220,10,160,683,7,16.0,685,558.0,0.28,0.38,0.45,0.83,127,1909,97.0,28,2.0,55.0,88.0,0
